,author_friends,author_location,author_name,author_reviews,prev_rating,prev_review,prev_review_date,rating,review,review_date,review_feedback_cool,review_feedback_funny,review_feedback_useful,business_address,business_name,business_phone,business_type,business_web
0,0,"Westmont, IL",Nancy H.,6,0,No Previous Review Available,1990-01-01,5,After so good reviews I Decided to take my child to this swimming school. Andddd she loved it!!! We are going to start with two classes per week. And maybe her birthday party will be at their facility,2017-11-05,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
1,0,"Orland Park, IL",Jose S.,14,0,No Previous Review Available,1990-01-01,2,"Good instructors, awful communication, administrative staff and management. When the time comes to cancel a membership, prepare for the worst. If you call and leave messages, they won't be returned. If you email with notice of cancellation, it is treated as spam. Cancellation procedures ruin the customer experience and we will not be coming back.",2017-04-22,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
2,0,"Brentwood, TN",Natalia B.,5,0,No Previous Review Available,1990-01-01,3,"The swim school has plenty of positives, it has a great indoor pool where they can control the temperature, the teacher/kid ratio is about 1/4 which ensures your child has plenty of attention, lifeguards surrounding the pool during class time, nice teachers, and excellent facility decorated to cater to kids.Unfortunately, the HUGE negative is their customer service. They have front desk staff that is extremely rude to parents. A simple question can turn into a plethora of defensive and sarcastic comments. They could do so much better if they trained their front desk staff to be kind and respectful.",2016-03-26,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
3,50,"Chicago, IL",Kimberly M.,9,0,No Previous Review Available,1990-01-01,5,"We love Goldfish Swim School! We started in May and our 4 year old has already moved from a difficult start in Junior 1 to swimming amazingly at Junior 3. Your summer Jump Start classes are awesome and pushed her to keep learning. She has so much fun at swim lessons, it's sometimes hard to get her to focus on learning and not just having fun in the water!",2016-08-08,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
4,0,"La Grange Park, IL",Monique-Megan A.,6,0,No Previous Review Available,1990-01-01,5,The front desk staff and instructors have all been AMAZING!!! :) :) :) Our twins love going to class and everyone is so friendly all the time. We love it!!!,2016-08-02,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
5,0,"Western Springs, IL",Heidi B.,2,0,No Previous Review Available,1990-01-01,2,"The lessons are fine. Teachers turn over a lot, but that seems common in places like this. My biggest issue is that they do not publish their schedules anywhere nor do the have wait lists. Both Bear Paddle and Max Aquatics do. When my son moved up a level, that had no openings and just told me to keep coming and calling every few days. I did that for one week, but I don't have time to call everyday nor will I pay for my son to keep swimming at a level he's mastered with no potential openings in sight. Not at all reasonable in 2016.",2016-11-13,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
6,0,"Willowbrook, IL",Ashley M.,1,0,No Previous Review Available,1990-01-01,5,"I cannot say enough!! This place is AMAZING and totally convinient (esp for parents with toddlers!) The extra warm water made my two year old super comfortable right away & all the cool toys/floaties/life vests kept him busy the ENTIRE time. Also, the convinient perfect sized personal ""tiki huts"" made changing/dressing/drying super easy and comfortable. Literally, stress free for somone with a toddler like my son, ALWAYS on the go & looking to run away. We are not members, but we WILL do the family swim whenever possible. This place is SUCH a hidden gem. (& pretty cheap for family swim!)  So perfect for winter especially when we are stir crazy & need some special fun! Highly reccomend!",2015-01-09,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
7,81,"Clarendon Hills, IL",Erin W.,29,0,No Previous Review Available,1990-01-01,5,"I can't say enough about Goldfish Swim. After trying several pools in the area we found Goldfish Swim to be clean, updated, and the pool is very warm.  The place is decorated in a cute underwater theme that my kids immediately fell in love with. But what I love the most is that the classes are smaller and more organized with actual specific instruction for each level.  My 3 yr old adjusted right away with no tears after the 1st class. Definitely would recommend to others!!",2014-12-03,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
8,48,"La Grange, IL",Lisa S.,19,0,No Previous Review Available,1990-01-01,4,"We love Goldfish Swim School!  Its so great that it is warm and just for kids.  We started at 4 months and have continued on and off.  My daughter now loves the water and isn't scared of anything.  My only complaint is the cost.  It's really hard to fit in a make-up class if you miss, and you are only allowed 9 a year.  I wish they had a punch card program, instead of a monthly fee.  They could also have some more free open swims.",2015-01-15,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
9,0,"Western Springs, IL",Maureen P.,3,0,No Previous Review Available,1990-01-01,5,"We've been Goldfish Groupies since my littlest was in diapers and I can't say enough about this place. We started in Roscoe Village moved to Western Springs and transferred to Naperville Goldfish and then Burr Ridge opened! Allelulia! Steve and his staff at GF Burr Ridge are patient, dedicated, professional instructors that make learning to swim fun! What's more, the facilities are a gorgeous tropical oasis, a blast for the littles and parents alike. Both my sons are swimming now unassisted and because Goldfish teaches safety first, I am completely at ease when my kids are near open bodies of water.  So listen up parents, there's no honor in suffering through lessons in those cold high school pools!!! Just join Goldfish and your family will love attending lessons, family swims and watching your kids  happily acquire new swimming skills week after week. Only 4 months til summer!!!!",2015-02-24,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
